iter	Passed	Remaining
0	1	359
1	1	359
2	1	359
3	1	359
4	1	359
5	1	359
6	1	359
7	5	852
8	104	10138
9	290	21083
10	292	16909
11	487	23383
12	677	27761
13	865	30930
14	1057	33493
15	1243	35311
16	1431	36835
17	1432	33669
18	1615	34929
19	1616	32338
20	1806	33597
21	1993	34643
22	2185	35608
23	2384	36554
24	2565	37126
25	2744	37602
26	2918	37943
27	3113	38499
28	3294	38812
29	3484	39199
30	3673	39526
31	3861	39806
32	4039	39947
33	4214	40041
34	4408	40287
35	4589	40389
36	4774	40505
37	4960	40614
38	4985	39428
39	5167	39512
40	5357	39647
41	5540	39707
42	5727	39780
43	5748	38726
44	5940	38838
45	6120	38862
46	6314	38965
47	6511	39068
48	6702	39122
49	6799	38631
50	6976	38601
51	7151	38557
52	7337	38559
53	7527	38576
54	7716	38581
55	7903	38570
56	8086	38528
57	8278	38525
58	8457	38455
59	8641	38408
60	8816	38311
61	9000	38252
62	9190	38211
63	9387	38197
64	9570	38119
65	9759	38063
66	9944	37984
67	10137	37934
68	10229	37507
69	10408	37404
70	10593	37322
71	10771	37209
72	10957	37124
73	11134	37006
74	11318	36908
75	11506	36819
76	11673	36665
77	11847	36529
78	12033	36430
79	12228	36354
80	12412	36243
81	12584	36098
82	12675	35721
83	12861	35616
84	13051	35521
85	13232	35396
86	13410	35264
87	13592	35142
88	13782	35037
89	13965	34913
90	14141	34771
91	14311	34612
92	14490	34476
93	14680	34366
94	14862	34233
95	15045	34104
96	15224	33961
97	15414	33845
98	15604	33726
99	15801	33619
100	15983	33481
101	16166	33343
102	16350	33207
103	16525	33050
104	16709	32912
105	16891	32769
106	17063	32606
107	17242	32456
108	17433	32328
109	17623	32197
110	17803	32046
111	17996	31918
112	18178	31769
113	18359	31619
114	18565	31509
115	18738	31344
116	18919	31191
117	19119	31068
118	19302	30918
119	19489	30773
120	19668	30613
121	19837	30440
122	20015	30280
123	20197	30125
124	20371	29957
125	20556	29807
126	20742	29656
127	20929	29507
128	21113	29352
129	21302	29205
130	21490	29054
131	21684	28912
132	21873	28762
133	22025	28564
134	22048	28201
135	22242	28060
136	22418	27894
137	22595	27730
138	22788	27585
139	22982	27442
140	23165	27283
141	23360	27139
142	23540	26977
143	23726	26821
144	23913	26665
145	24107	26518
146	24296	26364
147	24478	26202
148	24659	26038
